연도,시도,구군,주소,지수
2009,서울,송파구,서울 송파구,1118.5
2010,서울,송파구,서울 송파구,1147.5
2011,서울,송파구,서울 송파구,1156.5
2012,서울,송파구,서울 송파구,1116.7
2013,서울,송파구,서울 송파구,1072.1
2014,서울,송파구,서울 송파구,1081.1
2015,서울,송파구,서울 송파구,1110.7
2016,서울,송파구,서울 송파구,1138.4
2017,서울,송파구,서울 송파구,1172.6
2018,서울,송파구,서울 송파구,422.9
2003,서울,양천구,서울 양천구,124.2
2004,서울,양천구,서울 양천구,746
2005,서울,양천구,서울 양천구,770.4
2006,서울,양천구,서울 양천구,948.5
2007,서울,양천구,서울 양천구,1099.2
2008,서울,양천구,서울 양천구,1135.1
2009,서울,양천구,서울 양천구,1154.1
2010,서울,양천구,서울 양천구,1182.2
2011,서울,양천구,서울 양천구,1180.3
2012,서울,양천구,서울 양천구,1139.8
2013,서울,양천구,서울 양천구,1085.4
2014,서울,양천구,서울 양천구,1077.2
2015,서울,양천구,서울 양천구,1109.7
2016,서울,양천구,서울 양천구,1141.9
2017,서울,양천구,서울 양천구,1180.6
2018,서울,양천구,서울 양천구,415.2
2003,서울,영등포구,서울 영등포구,124.6
2004,서울,영등포구,서울 영등포구,754.5
2005,서울,영등포구,서울 영등포구,792.6
2006,서울,영등포구,서울 영등포구,900.4
2007,서울,영등포구,서울 영등포구,1041.6
2008,서울,영등포구,서울 영등포구,1106.9
2009,서울,영등포구,서울 영등포구,1126
2010,서울,영등포구,서울 영등포구,1146.2
2011,서울,영등포구,서울 영등포구,1138.1
2012,서울,영등포구,서울 영등포구,1113.2
2013,서울,영등포구,서울 영등포구,1068.8
2014,서울,영등포구,서울 영등포구,1069.9
2015,서울,영등포구,서울 영등포구,1099.2
2016,서울,영등포구,서울 영등포구,1137
2017,서울,영등포구,서울 영등포구,1178.5
2018,서울,영등포구,서울 영등포구,409.1
2003,서울,용산구,서울 용산구,101.6
2004,서울,용산구,서울 용산구,633.1
2005,서울,용산구,서울 용산구,679.7
2006,서울,용산구,서울 용산구,809.7
2007,서울,용산구,서울 용산구,1067.2
2008,서울,용산구,서울 용산구,1211.1
2009,서울,용산구,서울 용산구,1214.7
2010,서울,용산구,서울 용산구,1221.5
2011,서울,용산구,서울 용산구,1198.8
2012,서울,용산구,서울 용산구,1174.1
2013,서울,용산구,서울 용산구,1135.2
2014,서울,용산구,서울 용산구,1114.3
2015,서울,용산구,서울 용산구,1124.7
2016,서울,용산구,서울 용산구,1146.4
2017,서울,용산구,서울 용산구,1182.5
2018,서울,용산구,서울 용산구,413.1
2003,서울,은평구,서울 은평구,124.2
2004,서울,은평구,서울 은평구,744.4
2005,서울,은평구,서울 은평구,764.2
2006,서울,은평구,서울 은평구,839.5
2007,서울,은평구,서울 은평구,989.1
2008,서울,은평구,서울 은평구,1115.3
2009,서울,은평구,서울 은평구,1138.4
2010,서울,은평구,서울 은평구,1157.5
2011,서울,은평구,서울 은평구,1147.7
2012,서울,은평구,서울 은평구,1135
2013,서울,은평구,서울 은평구,1118.7
2014,서울,은평구,서울 은평구,1120
2015,서울,은평구,서울 은평구,1139.1
2016,서울,은평구,서울 은평구,1162.2
2017,서울,은평구,서울 은평구,1188.3
2018,서울,은평구,서울 은평구,403.6
2003,서울,종로구,서울 종로구,141.8
2004,서울,종로구,서울 종로구,856.3
2005,서울,종로구,서울 종로구,860
2006,서울,종로구,서울 종로구,921.3
2007,서울,종로구,서울 종로구,977.1
2008,서울,종로구,서울 종로구,1039.7
2009,서울,종로구,서울 종로구,1084.7
2010,서울,종로구,서울 종로구,1113.2
2011,서울,종로구,서울 종로구,1128.3
2012,서울,종로구,서울 종로구,1136
2013,서울,종로구,서울 종로구,1128.6
2014,서울,종로구,서울 종로구,1128.3
2015,서울,종로구,서울 종로구,1141.6
2016,서울,종로구,서울 종로구,1160.1
2017,서울,종로구,서울 종로구,1186.2
2018,서울,종로구,서울 종로구,405.7
2003,서울,중구,서울 중구,141.5
2004,서울,중구,서울 중구,851.9
2005,서울,중구,서울 중구,864.3
2006,서울,중구,서울 중구,907.9
2007,서울,중구,서울 중구,1019.3
2008,서울,중구,서울 중구,1092.6
2009,서울,중구,서울 중구,1118.4
2010,서울,중구,서울 중구,1144
2011,서울,중구,서울 중구,1155.9
2012,서울,중구,서울 중구,1132.7
2013,서울,중구,서울 중구,1102.3
2014,서울,중구,서울 중구,1108.4
2015,서울,중구,서울 중구,1132.9
2016,서울,중구,서울 중구,1155
2017,서울,중구,서울 중구,1181.9
2018,서울,중구,서울 중구,408.4
2003,서울,중랑구,서울 중랑구,125.6
2004,서울,중랑구,서울 중랑구,738.2
2005,서울,중랑구,서울 중랑구,716.4
2006,서울,중랑구,서울 중랑구,744.1
2007,서울,중랑구,서울 중랑구,895.7
2008,서울,중랑구,서울 중랑구,1072.8
2009,서울,중랑구,서울 중랑구,1137.9
2010,서울,중랑구,서울 중랑구,1155.5
2011,서울,중랑구,서울 중랑구,1159.7
2012,서울,중랑구,서울 중랑구,1146.4
2013,서울,중랑구,서울 중랑구,1124.9
2014,서울,중랑구,서울 중랑구,1135.4
2015,서울,중랑구,서울 중랑구,1149.5
2016,서울,중랑구,서울 중랑구,1174.3
2017,서울,중랑구,서울 중랑구,1190.3
2018,서울,중랑구,서울 중랑구,403.7
2003,울산,남구,울산 남구,115.9
2004,울산,남구,울산 남구,699.2
2005,울산,남구,울산 남구,738.1
2006,울산,남구,울산 남구,840.8
2007,울산,남구,울산 남구,969.1
2008,울산,남구,울산 남구,959.2
2009,울산,남구,울산 남구,933.3
2010,울산,남구,울산 남구,979.3
2011,울산,남구,울산 남구,1071.8
2012,울산,남구,울산 남구,1137.2
2013,울산,남구,울산 남구,1126.4
2014,울산,남구,울산 남구,1145.9
2015,울산,남구,울산 남구,1172.6
2016,울산,남구,울산 남구,1193.2
2017,울산,남구,울산 남구,1200.3
2018,울산,남구,울산 남구,398.6
2003,울산,동구,울산 동구,121.3
2004,울산,동구,울산 동구,728.2
2005,울산,동구,울산 동구,736.5
2006,울산,동구,울산 동구,762.4
2007,울산,동구,울산 동구,869.9
2008,울산,동구,울산 동구,950.7
2009,울산,동구,울산 동구,966.6
2010,울산,동구,울산 동구,979.4
2011,울산,동구,울산 동구,1027.7
2012,울산,동구,울산 동구,1213.6
2013,울산,동구,울산 동구,1207.8
2014,울산,동구,울산 동구,1253.9
2015,울산,동구,울산 동구,1297.8
2016,울산,동구,울산 동구,1263.5
2017,울산,동구,울산 동구,1212.6
2018,울산,동구,울산 동구,392.6
2003,울산,북구,울산 북구,108.4
2004,울산,북구,울산 북구,661.1
2005,울산,북구,울산 북구,684.9
2006,울산,북구,울산 북구,724.9
2007,울산,북구,울산 북구,837.5
2008,울산,북구,울산 북구,861.8
2009,울산,북구,울산 북구,889.5
2010,울산,북구,울산 북구,937.2
2011,울산,북구,울산 북구,1010.5
2012,울산,북구,울산 북구,1149.1
2013,울산,북구,울산 북구,1169.2
2014,울산,북구,울산 북구,1170.2
2015,울산,북구,울산 북구,1209.9
2016,울산,북구,울산 북구,1238.5
2017,울산,북구,울산 북구,1220.8
2018,울산,북구,울산 북구,390.6
2003,울산,울주군,울산 울주군,114.8
2004,울산,울주군,울산 울주군,698.8
2005,울산,울주군,울산 울주군,735.4
2006,울산,울주군,울산 울주군,788.6
2007,울산,울주군,울산 울주군,855
2008,울산,울주군,울산 울주군,883.9
2009,울산,울주군,울산 울주군,911.8
2010,울산,울주군,울산 울주군,943.6
2011,울산,울주군,울산 울주군,1034.1
2012,울산,울주군,울산 울주군,1105.3
2013,울산,울주군,울산 울주군,1120.5
2014,울산,울주군,울산 울주군,1138.3
2015,울산,울주군,울산 울주군,1169.7
2016,울산,울주군,울산 울주군,1198.4
2017,울산,울주군,울산 울주군,1199.5
2018,울산,울주군,울산 울주군,398.9
2003,울산,중구,울산 중구,107.3
2004,울산,중구,울산 중구,633.5
2005,울산,중구,울산 중구,657.1
2006,울산,중구,울산 중구,762.3
2007,울산,중구,울산 중구,863.7
2008,울산,중구,울산 중구,894.5
2009,울산,중구,울산 중구,886.6
2010,울산,중구,울산 중구,918.6
2011,울산,중구,울산 중구,974.8
2012,울산,중구,울산 중구,1041.2
2013,울산,중구,울산 중구,1048.4
2014,울산,중구,울산 중구,1075.1
2015,울산,중구,울산 중구,1128.1
2016,울산,중구,울산 중구,1190.5
2017,울산,중구,울산 중구,1200.1
2018,울산,중구,울산 중구,398
2003,인천,계양구,인천 계양구,120.4
2004,인천,계양구,인천 계양구,703.6
2005,인천,계양구,인천 계양구,674
2006,인천,계양구,인천 계양구,676.8
2007,인천,계양구,인천 계양구,803.7
2008,인천,계양구,인천 계양구,1062.1
2009,인천,계양구,인천 계양구,1163
2010,인천,계양구,인천 계양구,1148.6
2011,인천,계양구,인천 계양구,1139.2
2012,인천,계양구,인천 계양구,1111.5
2013,인천,계양구,인천 계양구,1087.4
2014,인천,계양구,인천 계양구,1127.5
2015,인천,계양구,인천 계양구,1157.2
2016,인천,계양구,인천 계양구,1178.2
2017,인천,계양구,인천 계양구,1189.5
2018,인천,계양구,인천 계양구,400.2
2003,인천,남구,인천 남구,135.2
2004,인천,남구,인천 남구,785.6
2005,인천,남구,인천 남구,765.5
2006,인천,남구,인천 남구,799.1
2007,인천,남구,인천 남구,926.8
2008,인천,남구,인천 남구,1164.6
2009,인천,남구,인천 남구,1262.4
2010,인천,남구,인천 남구,1267.7
2011,인천,남구,인천 남구,1251.8
2012,인천,남구,인천 남구,1219.1
2013,인천,남구,인천 남구,1176.2
2014,인천,남구,인천 남구,1156.9
2015,인천,남구,인천 남구,1168.6
2016,인천,남구,인천 남구,1179.6
2017,인천,남구,인천 남구,1189.7
2018,인천,남구,인천 남구,401
2003,인천,남동구,인천 남동구,131.3
2004,인천,남동구,인천 남동구,763.9
2005,인천,남동구,인천 남동구,734.6
2006,인천,남동구,인천 남동구,740.2
2007,인천,남동구,인천 남동구,869.5
2008,인천,남동구,인천 남동구,1108.6
2009,인천,남동구,인천 남동구,1192.7
2010,인천,남동구,인천 남동구,1200.4
2011,인천,남동구,인천 남동구,1197.4
2012,인천,남동구,인천 남동구,1177.4
2013,인천,남동구,인천 남동구,1136.3
2014,인천,남동구,인천 남동구,1142.4
2015,인천,남동구,인천 남동구,1164.7
2016,인천,남동구,인천 남동구,1180.8
2017,인천,남동구,인천 남동구,1191.2
2018,인천,남동구,인천 남동구,400.3
2003,인천,동구,인천 동구,137.9
2004,인천,동구,인천 동구,808.8
2005,인천,동구,인천 동구,800.2
2006,인천,동구,인천 동구,811.9
2007,인천,동구,인천 동구,849.2
2008,인천,동구,인천 동구,1082.4
2009,인천,동구,인천 동구,1186.3
2010,인천,동구,인천 동구,1207.8
2011,인천,동구,인천 동구,1204.8
2012,인천,동구,인천 동구,1187.5
2013,인천,동구,인천 동구,1147.1
2014,인천,동구,인천 동구,1152.2
2015,인천,동구,인천 동구,1167.9
2016,인천,동구,인천 동구,1182.4
2017,인천,동구,인천 동구,1192.6
2018,인천,동구,인천 동구,400
2003,인천,부평구,인천 부평구,130.7
2004,인천,부평구,인천 부평구,756
2005,인천,부평구,인천 부평구,709.6
2006,인천,부평구,인천 부평구,734.5
2007,인천,부평구,인천 부평구,867.6
2008,인천,부평구,인천 부평구,1061.7
2009,인천,부평구,인천 부평구,1147.2
2010,인천,부평구,인천 부평구,1163.4
2011,인천,부평구,인천 부평구,1156.4
2012,인천,부평구,인천 부평구,1128.7
2013,인천,부평구,인천 부평구,1080
2014,인천,부평구,인천 부평구,1098.8
2015,인천,부평구,인천 부평구,1137.3
2016,인천,부평구,인천 부평구,1167.2
2017,인천,부평구,인천 부평구,1187.6
2018,인천,부평구,인천 부평구,399.9
2003,인천,서구,인천 서구,118.4
2004,인천,서구,인천 서구,702.2
2005,인천,서구,인천 서구,710.2
2006,인천,서구,인천 서구,785.1
2007,인천,서구,인천 서구,1010.4
2008,인천,서구,인천 서구,1226.9
2009,인천,서구,인천 서구,1306.1
2010,인천,서구,인천 서구,1289.2
2011,인천,서구,인천 서구,1244
2012,인천,서구,인천 서구,1159.8
2013,인천,서구,인천 서구,1107.1
2014,인천,서구,인천 서구,1127.4
2015,인천,서구,인천 서구,1161.1
2016,인천,서구,인천 서구,1182.3
2017,인천,서구,인천 서구,1191.5
2018,인천,서구,인천 서구,400
2003,인천,연수구,인천 연수구,144.3
2004,인천,연수구,인천 연수구,856
2005,인천,연수구,인천 연수구,827.5
2006,인천,연수구,인천 연수구,844.2
2007,인천,연수구,인천 연수구,1024.9
2008,인천,연수구,인천 연수구,1139.8
2009,인천,연수구,인천 연수구,1147.1
2010,인천,연수구,인천 연수구,1140.6
2011,인천,연수구,인천 연수구,1116.8
2012,인천,연수구,인천 연수구,1077.8
2013,인천,연수구,인천 연수구,1045.5
2014,인천,연수구,인천 연수구,1088.8
2015,인천,연수구,인천 연수구,1142.4
2016,인천,연수구,인천 연수구,1169.3
2017,인천,연수구,인천 연수구,1184.4
2018,인천,연수구,인천 연수구,401.3
2003,인천,중구,인천 중구,163.6
2004,인천,중구,인천 중구,990.2
2005,인천,중구,인천 중구,997.8
2006,인천,중구,인천 중구,1017.2
2007,인천,중구,인천 중구,1103.5
2008,인천,중구,인천 중구,1289.7
2009,인천,중구,인천 중구,1341
2010,인천,중구,인천 중구,1350.9
2011,인천,중구,인천 중구,1336.3
2012,인천,중구,인천 중구,1313.7
2013,인천,중구,인천 중구,1179
2014,인천,중구,인천 중구,1147.8
2015,인천,중구,인천 중구,1170.8
2016,인천,중구,인천 중구,1191.7
2017,인천,중구,인천 중구,1196.9
2018,인천,중구,인천 중구,400.2
2003,전남,광양시,전남 광양시,120.5
2004,전남,광양시,전남 광양시,714.5
2005,전남,광양시,전남 광양시,709.9
2006,전남,광양시,전남 광양시,723
2007,전남,광양시,전남 광양시,741.1
2008,전남,광양시,전남 광양시,830.6
2009,전남,광양시,전남 광양시,957.4
2010,전남,광양시,전남 광양시,1054.8
2011,전남,광양시,전남 광양시,1141.3
2012,전남,광양시,전남 광양시,1241.5
2013,전남,광양시,전남 광양시,1228.8
2014,전남,광양시,전남 광양시,1210.2
2015,전남,광양시,전남 광양시,1197.3
2016,전남,광양시,전남 광양시,1196.4
2017,전남,광양시,전남 광양시,1195.9
2018,전남,광양시,전남 광양시,401.3
2003,전남,목포시,전남 목포시,160.8
2004,전남,목포시,전남 목포시,943.1
2005,전남,목포시,전남 목포시,928.5
2006,전남,목포시,전남 목포시,937
2007,전남,목포시,전남 목포시,953
2008,전남,목포시,전남 목포시,954.1
2009,전남,목포시,전남 목포시,965.5
2010,전남,목포시,전남 목포시,993.3
2011,전남,목포시,전남 목포시,1107.2
2012,전남,목포시,전남 목포시,1193.5
2013,전남,목포시,전남 목포시,1176.8
2014,전남,목포시,전남 목포시,1152.8
2015,전남,목포시,전남 목포시,1156.2
2016,전남,목포시,전남 목포시,1175.9
2017,전남,목포시,전남 목포시,1191.1
2018,전남,목포시,전남 목포시,400.4
2003,전남,순천시,전남 순천시,154.4
2004,전남,순천시,전남 순천시,894.6
2005,전남,순천시,전남 순천시,874.3
2006,전남,순천시,전남 순천시,842.1
2007,전남,순천시,전남 순천시,867.3
2008,전남,순천시,전남 순천시,1020.6
2009,전남,순천시,전남 순천시,1077.4
2010,전남,순천시,전남 순천시,1103
2011,전남,순천시,전남 순천시,1144.7
2012,전남,순천시,전남 순천시,1218.5
2013,전남,순천시,전남 순천시,1198.3
2014,전남,순천시,전남 순천시,1175.9
2015,전남,순천시,전남 순천시,1157.6
2016,전남,순천시,전남 순천시,1165.2
2017,전남,순천시,전남 순천시,1188.5
2018,전남,순천시,전남 순천시,400.9
2003,전북,군산시,전북 군산시,149.5
2004,전북,군산시,전북 군산시,869.8
2005,전북,군산시,전북 군산시,850.7
2006,전북,군산시,전북 군산시,880.5
2007,전북,군산시,전북 군산시,919.1
2008,전북,군산시,전북 군산시,1065.4
2009,전북,군산시,전북 군산시,1103.2
2010,전북,군산시,전북 군산시,1118.4
2011,전북,군산시,전북 군산시,1177.6
2012,전북,군산시,전북 군산시,1275.3
2013,전북,군산시,전북 군산시,1246.6
2014,전북,군산시,전북 군산시,1238.3
2015,전북,군산시,전북 군산시,1221.2
2016,전북,군산시,전북 군산시,1208.1
2017,전북,군산시,전북 군산시,1199.2
2018,전북,군산시,전북 군산시,396.4
2003,전북,덕진구,전북 덕진구,144.3
2004,전북,덕진구,전북 덕진구,875.1
2005,전북,덕진구,전북 덕진구,892.5
2006,전북,덕진구,전북 덕진구,908.3
2007,전북,덕진구,전북 덕진구,917.2
2008,전북,덕진구,전북 덕진구,920.3
2009,전북,덕진구,전북 덕진구,941.9
2010,전북,덕진구,전북 덕진구,1024.1
2011,전북,덕진구,전북 덕진구,1159.3
2012,전북,덕진구,전북 덕진구,1219.6
2013,전북,덕진구,전북 덕진구,1164.5
2014,전북,덕진구,전북 덕진구,1160.3
2015,전북,덕진구,전북 덕진구,1170.3
2016,전북,덕진구,전북 덕진구,1179.3
2017,전북,덕진구,전북 덕진구,1189
2018,전북,덕진구,전북 덕진구,400
2003,전북,완산구,전북 완산구,133.8
2004,전북,완산구,전북 완산구,812.5
2005,전북,완산구,전북 완산구,831.3
2006,전북,완산구,전북 완산구,847
2007,전북,완산구,전북 완산구,860.4
2008,전북,완산구,전북 완산구,874.3
2009,전북,완산구,전북 완산구,904.3
2010,전북,완산구,전북 완산구,990.1
2011,전북,완산구,전북 완산구,1126.1
2012,전북,완산구,전북 완산구,1184.5
2013,전북,완산구,전북 완산구,1158.3
2014,전북,완산구,전북 완산구,1152.6
2015,전북,완산구,전북 완산구,1154.7
2016,전북,완산구,전북 완산구,1166.6
2017,전북,완산구,전북 완산구,1188.3
2018,전북,완산구,전북 완산구,400.9
2003,전북,익산시,전북 익산시,156
2004,전북,익산시,전북 익산시,926
2005,전북,익산시,전북 익산시,912.9
2006,전북,익산시,전북 익산시,965.6
2007,전북,익산시,전북 익산시,978
2008,전북,익산시,전북 익산시,1009.6
2009,전북,익산시,전북 익산시,1038.3
2010,전북,익산시,전북 익산시,1081.3
2011,전북,익산시,전북 익산시,1146.8
2012,전북,익산시,전북 익산시,1216.4
2013,전북,익산시,전북 익산시,1172.9
2014,전북,익산시,전북 익산시,1158.8
2015,전북,익산시,전북 익산시,1153
2016,전북,익산시,전북 익산시,1156.2
2017,전북,익산시,전북 익산시,1180.1
2018,전북,익산시,전북 익산시,402.4
2003,전북,전주시,전북 전주시,138.3
2004,전북,전주시,전북 전주시,839.5
2005,전북,전주시,전북 전주시,858
2006,전북,전주시,전북 전주시,873.5
2007,전북,전주시,전북 전주시,885
2008,전북,전주시,전북 전주시,894.5
2009,전북,전주시,전북 전주시,920.8
2010,전북,전주시,전북 전주시,1004.9
2011,전북,전주시,전북 전주시,1141
2012,전북,전주시,전북 전주시,1200.3
2013,전북,전주시,전북 전주시,1161.2
2014,전북,전주시,전북 전주시,1156.3
2015,전북,전주시,전북 전주시,1161.8
2016,전북,전주시,전북 전주시,1172.4
2017,전북,전주시,전북 전주시,1188.6
2018,전북,전주시,전북 전주시,400.6
2003,제주,제주시,제주 제주시,202.2
2004,제주,제주시,제주 제주시,1058.6
2005,제주,제주시,제주 제주시,980.3
2006,제주,제주시,제주 제주시,939
2007,제주,제주시,제주 제주시,906.5
2008,제주,제주시,제주 제주시,892.5
2009,제주,제주시,제주 제주시,887.1
2010,제주,제주시,제주 제주시,924.1
2011,제주,제주시,제주 제주시,969.4
2012,제주,제주시,제주 제주시,1025.1
2013,제주,제주시,제주 제주시,1028.6
2014,제주,제주시,제주 제주시,1037
2015,제주,제주시,제주 제주시,1084.4
2016,제주,제주시,제주 제주시,1176.9
2017,제주,제주시,제주 제주시,1193.2
2018,제주,제주시,제주 제주시,400.7
2003,충남,계룡시,충남 계룡시,200.2
2004,충남,계룡시,충남 계룡시,1231.5
2005,충남,계룡시,충남 계룡시,1196
2006,충남,계룡시,충남 계룡시,1131.6
2007,충남,계룡시,충남 계룡시,1106.8
2008,충남,계룡시,충남 계룡시,1083.6
2009,충남,계룡시,충남 계룡시,1060.7
2010,충남,계룡시,충남 계룡시,1106.8
2011,충남,계룡시,충남 계룡시,1214.8
2012,충남,계룡시,충남 계룡시,1259.6
2013,충남,계룡시,충남 계룡시,1247.3
2014,충남,계룡시,충남 계룡시,1228.9
2015,충남,계룡시,충남 계룡시,1187.2
2016,충남,계룡시,충남 계룡시,1157.4
2017,충남,계룡시,충남 계룡시,1178.9
2018,충남,계룡시,충남 계룡시,400.9
2003,충남,공주시,충남 공주시,205.7
2004,충남,공주시,충남 공주시,1239.7
2005,충남,공주시,충남 공주시,1254.4
2006,충남,공주시,충남 공주시,1241.4
2007,충남,공주시,충남 공주시,1201.5
2008,충남,공주시,충남 공주시,1160
2009,충남,공주시,충남 공주시,1101.6
2010,충남,공주시,충남 공주시,1084.2
2011,충남,공주시,충남 공주시,1097
2012,충남,공주시,충남 공주시,1146
2013,충남,공주시,충남 공주시,1184.9
2014,충남,공주시,충남 공주시,1205
2015,충남,공주시,충남 공주시,1199.3
2016,충남,공주시,충남 공주시,1192
2017,충남,공주시,충남 공주시,1196.2
2018,충남,공주시,충남 공주시,399.3
2003,충남,논산시,충남 논산시,177.7
2004,충남,논산시,충남 논산시,1025.6
2005,충남,논산시,충남 논산시,1028.9
2006,충남,논산시,충남 논산시,1049.2
2007,충남,논산시,충남 논산시,1061.7
2008,충남,논산시,충남 논산시,1075.6
2009,충남,논산시,충남 논산시,1083.7
2010,충남,논산시,충남 논산시,1106.5
2011,충남,논산시,충남 논산시,1169.7
2012,충남,논산시,충남 논산시,1199.1
2013,충남,논산시,충남 논산시,1198.9
2014,충남,논산시,충남 논산시,1202.6
2015,충남,논산시,충남 논산시,1197.4
2016,충남,논산시,충남 논산시,1191.4
2017,충남,논산시,충남 논산시,1196.4
2018,충남,논산시,충남 논산시,400.8
2003,충남,동남구,충남 동남구,155.3
2004,충남,동남구,충남 동남구,938.7
2005,충남,동남구,충남 동남구,946.6
2006,충남,동남구,충남 동남구,962.1
2007,충남,동남구,충남 동남구,985.2
2008,충남,동남구,충남 동남구,996.5
2009,충남,동남구,충남 동남구,1003.5
2010,충남,동남구,충남 동남구,1005.1
2011,충남,동남구,충남 동남구,1040.2
2012,충남,동남구,충남 동남구,1089.8
2013,충남,동남구,충남 동남구,1161.6
2014,충남,동남구,충남 동남구,1227.8
2015,충남,동남구,충남 동남구,1261.5
2016,충남,동남구,충남 동남구,1225
2017,충남,동남구,충남 동남구,1203.4
2018,충남,동남구,충남 동남구,398.3
2003,충남,서북구,충남 서북구,150.7
2004,충남,서북구,충남 서북구,899.1
2005,충남,서북구,충남 서북구,937.8
2006,충남,서북구,충남 서북구,960.1
2007,충남,서북구,충남 서북구,948.3
2008,충남,서북구,충남 서북구,955.6
2009,충남,서북구,충남 서북구,972.9
2010,충남,서북구,충남 서북구,979.8
2011,충남,서북구,충남 서북구,1022.2
2012,충남,서북구,충남 서북구,1122
2013,충남,서북구,충남 서북구,1181.5
2014,충남,서북구,충남 서북구,1253
2015,충남,서북구,충남 서북구,1286.8
2016,충남,서북구,충남 서북구,1258.1
2017,충남,서북구,충남 서북구,1213.6
2018,충남,서북구,충남 서북구,396.4
2003,충남,아산시,충남 아산시,149.8
2004,충남,아산시,충남 아산시,914
2005,충남,아산시,충남 아산시,905.1
2006,충남,아산시,충남 아산시,884.5
2007,충남,아산시,충남 아산시,910.4
2008,충남,아산시,충남 아산시,944
2009,충남,아산시,충남 아산시,978.4
2010,충남,아산시,충남 아산시,997.2
2011,충남,아산시,충남 아산시,1039.2
2012,충남,아산시,충남 아산시,1119.7
2013,충남,아산시,충남 아산시,1169.4
2014,충남,아산시,충남 아산시,1209.6
2015,충남,아산시,충남 아산시,1228.8
2016,충남,아산시,충남 아산시,1224.9
2017,충남,아산시,충남 아산시,1204.1
2018,충남,아산시,충남 아산시,394.9
2003,충남,천안시,충남 천안시,152.7
2004,충남,천안시,충남 천안시,916.1
2005,충남,천안시,충남 천안시,941.6
2006,충남,천안시,충남 천안시,961.1
2007,충남,천안시,충남 천안시,964.4
2008,충남,천안시,충남 천안시,973
2009,충남,천안시,충남 천안시,985.9
2010,충남,천안시,충남 천안시,990.9
2011,충남,천안시,충남 천안시,1030
2012,충남,천안시,충남 천안시,1107.9
2013,충남,천안시,충남 천안시,1172.5
2014,충남,천안시,충남 천안시,1241.9
2015,충남,천안시,충남 천안시,1275.6
2016,충남,천안시,충남 천안시,1243.4
2017,충남,천안시,충남 천안시,1209.3
2018,충남,천안시,충남 천안시,397.1
2003,충북,충주시,충북 충주시,160.9
2004,충북,충주시,충북 충주시,939.4
2005,충북,충주시,충북 충주시,965.8
2006,충북,충주시,충북 충주시,1009.5
2007,충북,충주시,충북 충주시,993.9
2008,충북,충주시,충북 충주시,968.2
2009,충북,충주시,충북 충주시,944.6
2010,충북,충주시,충북 충주시,974
2011,충북,충주시,충북 충주시,1086.3
2012,충북,충주시,충북 충주시,1136.5
2013,충북,충주시,충북 충주시,1164.2
2014,충북,충주시,충북 충주시,1176.5
2015,충북,충주시,충북 충주시,1194.3
2016,충북,충주시,충북 충주시,1197.2
2017,충북,충주시,충북 충주시,1196.8
2018,충북,충주시,충북 충주시,397.8
